text,label
The things that the four kids get themselves into is absolutely hilarious to watch.  ,1
It was so funny.  ,1
"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
Don't buy this product - It fails!.,0
Well... Just if you keep thinking how bad it is.  ,0
It was way over fried.,0
"The owner used to work at Nobu, so this place is really similar for half the price.",1
"First off the reception sucks, I have never had more than 2 bars, ever.",0
"This was my first crawfish experience, and it was delicious!",1
"As for the ""mains,"" also uninspired.",0
"Excellent product, I am very satisfied with the purchase.",1
"great headset, very impressed - H500.",1
Punishment Park is a brilliant piece of cinema.  ,1
This device is great in several situations:1.),1
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
"He also came back to check on us regularly, excellent service.",1
Good product - incredible value.,1
"I won't spoil it, but the ending in pretty amazing.  ",1
A bit predictable.  ,0
It was absolutely amazing.,1
"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",0
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
"Oh yeah, and the storyline was pathetic too.  ",0
The battery is completely useless to me.,0
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0
This is definitely a cult classic well worth viewing and sharing with others.  ,1
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0
"This convention never worked well in the past, and certainly doesn't work here.  ",0
The plug did not work very well.,0
Now you know why I gave it a 10+!  ,1
"Not frightening in the least, and barely comprehensible.  ",0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
I got food poisoning here at the buffet.,0
A good film by a great director!  ,1
I love being able to use one headset for both by land-line and cell.,1
This film (and I use that word loosely) is an insult to the movie-going public.  ,0
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
I highly recommend this case.,1
All in all I think it was a good investment.,1
The food came out at a good pace.,1
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0
The story is also both funny and poignant at times.  ,1
"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0
Now the pizza itself was good the peanut sauce was very tasty.,1
These are the nicest restaurant owners I've ever come across.,1
"Aside from it's terrible lead, this film has loads of other debits.  ",0
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",0
This movie totally grates on my nerves.  ,0
Seller shipped quickly and much cheaper than the competitors.,1
"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  ",1
It also took her forever to bring us the check when we asked for it.,0
"Bad script, bad direction and horrible acting make this one plain bad!  ",0
Razr Battery - Good buy.,1
the phone was unusable and was not new.,0
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",1
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1
Simply beautiful.  ,1
Everyone is treated equally special.,1
Excellent!.,1
However I needed some better instructions.,0
The worst was the salmon sashimi.,0
"Food was good, service was good, Prices were good.",1
Best tater tots in the southwest.,1
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
Absolutel junk.,0
Great sound and service.,1
This is hands down the best phone I've ever had.,1
The aerial scenes were well-done.  ,1
Do Not Buy for D807...wrongly advertised for D807.,0
All the bread is made in-house!,1
Not good when wearing a hat or sunglasses.,0
Awsome Device Works Great!!.,1
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0
I have read other's reviews here but I haven't had any problem with it.,1
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0
Now this dish was quite flavourful.,1
"When my order arrived, one of the gyros was missing.",0
-Drinks took close to 30 minutes to come out at one point.,0
I had to purchase a different case.,0
Service was good and the company was better!,1
Loved the casting of Jimmy Buffet as the science teacher.  ,1
I've had better atmosphere.,0
The design is very good.4.,1
"I know this is not like the other restaurants at all, something is very off here!",0
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1
"Cute, quaint, simple, honest.",1
How awful she is!  ,0
The goat taco didn't skimp on the meat and wow what FLAVOR!,1
"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1
There is a lot of beautiful places.  ,1
Went for lunch - service was slow.,0
The lead man is charisma-free.  ,0
"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",1
"I felt asleep the first time I watched it, so I can recommend it for insomniacs.  ",0
Horrible phone.,0
Con: spotty service.,0
;) Recommend with confidence!  ,1
Bad Reception.,0
Thanks good a movie like this was done and released.  ,1
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0
It was so BORING!  ,0
This phone works great.,1
It only recognizes the Phone as its storage device.,0
A lady at the table next to us found a live green caterpillar In her salad.,0
My sashimi was poor quality being soggy and tasteless.,0
None of them are engaging or exciting.  ,0
I've had better bagels from the grocery store.,0
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
The Jamaican mojitos are delicious.,1
This movie is a good and humorous comment on life in 2006.  ,1
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
The service was extremely slow.,0
Fantastic food!,1
I'm not eating here!,0
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0
He came running after us when he realized my husband had left his sunglasses on the table.,1
"Seriously, it's not worth wasting your, or your kid's time on.  ",0
I'm using it with an iriver SPINN (with case) and it fits fine.,1
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0
This is such a fun and funny movie.  ,1
I would highly recommend this product.,1
Totally believable.  ,1
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",0
Does not fit.,0
Filmiing was less expansive.  ,0
Go To Place for Gyros.,1
The iGo chargers and tips are really great.,1
Have been going since 2007 and every meal has been awesome!!,1
"A greasy, unhealthy meal.",0
Maybe if they weren't cold they would have been somewhat edible.,0
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,0
"The real killer is the volume, and of course it breaking.",0
For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,1
Your staff spends more time talking to themselves than me.,0
Why was this film made?  ,0
Just had lunch here and had a great experience.,1
We literally sat there for 20 minutes with no one asking to take our order.,0
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0
So Far So Good!.,1
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
"It's a sad movie, but very good.  ",1
Great Phone.,1
Not recommended.  ,0
"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",0
I give it 2 thumbs down,0
"I have to use the smallest earpieces provided, but it stays on pretty well.",1
If you plan to use this in a car forget about it.,0
"Yes, it's that bad.  ",0
Their steaks are 100% recommended!,1
"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",1
Awesome service and food.,1
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
What a great double cheeseburger!,1
It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,1
Always a pleasure dealing with him.,1
"When it opens, the battery connection is broken and the device is turned off.",0
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",1
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
The bus boy on the other hand was so rude.,0
Its not user friendly.,0
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",1
This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0
This place is hands-down one of the best places to eat in the Phoenix metro area.,1
The restaurant is very clean and has a family restaurant feel to it.,1
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1
I paid too much.  ,0
The result is a film that just don't look right.  ,0
Nice design and quality.,1
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0
"- Really, really good rice, all the time.",1
As a sushi lover avoid this place by all means.,0
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0
There are the usual Hitchcock logic flaws.  ,0
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",0
It's so bad it's actually worth seeing just for that reason.  ,0
Both of the egg rolls were fantastic.,1
I could eat their bruschetta all day it is devine.,1
"The pizza tasted old, super chewy in not a good way.",0
"All in all, a great disappointment.  ",0
"Very, very sad.",0
My boyfriend and i sat at the bar and had a completely delightful experience.,1
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
AMAZON SUCKS.,0
"As they say in Canada, This is the fun game, aye.  ",1
"What possesed me to get this junk, I have no idea...",0
Everything about it is fine and reasonable for the price i.e.,1
Exactly what I wanted.,1
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",1
Great for using with your home stereo.,1
"She is as lovely as usual, this cutie!  ",1
"There was so much hype over this phone that I assumed it was the best, my mistake.",0
So anyone near you will hear part of your conversation.,0
This results in the phone being either stuck at max volume or mute.,0
I'll definitely be in soon again.,1
It's a case of 'so bad it is laughable'.  ,0
"Light weight, I hardly notice it is there.",1
At least think to refill my water before I struggle to wave you over for 10 minutes.,0
It always cuts out and makes a beep beep beep sound then says signal failed.,0
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
"It is cheap, and it feel and look just as cheap.",0
It'll be a regular stop on my trips to Phoenix!,1
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
Very much disappointed with this company.,0
The ear buds only play music in one ear.,0
Weird vibe from owners.,0
I left with a stomach ache and felt sick the rest of the day.,0
I wasn't the least bit interested.  ,0
The sweet potato fries were very good and seasoned well.,1
That's how I'd describe this painfully dreary time-waster of a film.  ,0
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
About half way through this film I started to dislike it.  ,0
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0
"However, the ear pads come off easily and after only one week I lost one.",0
Rip off---- Over charge shipping.,0
I received it quickly and it works great!!,1
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1
I did not have any problem with this item and would order it again if needed.,1
"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",1
The holster that arrived did not match the photo in the ad.,0
OMG I felt like I had never eaten Thai food until this dish.,1
"My father has the V265, and the battery is dying.",0
My girlfriend's veal was very bad.,0
Really awful.  ,0
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
Also the story and acting were weak.  ,0
Not good by any stretch of the imagination.,0
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
Very good phone.,1
Great Product.,1
Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  ,1
It clicks into place in a way that makes you wonder how long that mechanism would last.,0
Avoid this film at all costs.  ,0
"good item, low price.",1
There's barely a boring moment in the film and there are plenty of humorous parts.  ,1
The sound is clear and the people I talk to on it are amazed at the quality too.,1
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
Anne Heche was utterly convincing.  ,1
"Using all earpieces, left or right, this thing will not stay on my ear.",0
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0
Their chow mein is so good!,1
Avoid at all costs.  ,0
The steak and the shrimp are in my opinion the best entrees at GC.,1
Very poor service.,0
I highly doubt that anyone could ever like this trash.  ,0
"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
I felt as though her going to Ireland did absolutely nothing whatsoever.  ,0
And service was super friendly.,1
One of my favorite purchases ever.,1
I had to walk out of the theatre for a few minutes just to get some relief!  ,0
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
"This movie is so mind-bendingly awful, it couldn't have even been created.  ",0
The voice recognition thru the handset is excellent.,1
Food was average at best.,0
Battery charge-life is quite long.,1
Superb Phone on a Great Network.,1
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",1
"Overall, I was very disappointed with the quality of food at Bouchon.",0
"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",1
The company shipped my product very promptly and it works well.,1
We waited an hour for what was a breakfast I could have done 100 times better at home.,0
As I said above....PRETTY USELESS!,0
This is the number one best TH game in the series.  ,1
Won't go back.,0
This product is ideal for people like me whose ears are very sensitive.,1
Worst Customer Service Ever.,0
Service is perfect and the family atmosphere is nice to see.,1
Soggy and not good.,0
It's not what it says it is.,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
"I love the owner/chef, his one authentic Japanese cool dude!",1
"After 3 months, screen just went black all of a sudden.",0
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
This one is simply a disappointment.,0
"People who like European films and ""art movies"" will like this movie.  ",1
"Voice Quality, Signal Strength, Dropped Calls.",0
"The fries were not hot, and neither was my burger.",0
Motorola finally got the voice quality of a bluetooth headset right.,1
Very friendly staff.,1
"Nice, spicy and tender.",1
But this movie really got to me.  ,1
It was packed!!,0
I'm not sure what he was trying to do with this film.  ,0
I want to first say our server was great and we had perfect service.,1
This place was such a nice surprise!,1
"Great product, fast shipping!.",1
And the beans and rice were mediocre at best.,0
"This movie was kind of long in length, but I enjoyed every minute of it.  ",1
It does everything the description said it would.,1
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1
What a piece of junk.. I lose more calls on this phone.,0
Great pork sandwich.,1
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0
"Third, the cheese on my friend's burger was cold.",0
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,0
This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1
They were golden-crispy and delicious.,1
I would avoid this place if you are staying in the Mirage.,0
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
"The results, well, are a shame.  ",0
"I wish I could enter negative values, admins?  ",0
The budget was evidently very limited.  ,0
And I really did find them funny.  ,1
Will be back again!,1
5 stars for the brick oven bread app!,1
"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",0
Happy so far!.,1
WARNING - DO NOT BUY!!.,0
Poor Construction.,0
"A truly, truly bad film.  ",0
"The cable looks so thin and flimsy, it is scary.",0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
Good audio quality.,1
I have been very satisfied with this cell phone from day one.,1
I dressed up to be treated so rudely!,0
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,0
Not too screamy not to masculine but just right.  ,1
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
All of the main players are mesmerising.  ,1
Great bluetooth!.,1
"This item worked great, but it broke after 6 months of use.",0
I had the opportunity today to sample your amazing pizzas!,1
"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
The nachos are a MUST HAVE!,1
"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  ",0
The film looks cheap and bland.  ,0
I would not recommend this place.,0
What a mistake that was!,0
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0
This is high adventure at its best.  ,1
It is indescribably the most annoying and idiotic show I have ever seen.  ,0
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
Terrible management.,0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
Great product for the price!.,1
The lighting is awful.  ,0
"The food is about on par with Denny's, which is to say, not good at all.",0
No one at the table thought the food was above average or worth the wait that we had for it.,0
"For service, I give them no stars.",0
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0
What happened next was pretty....off putting.,0
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1
"I love the camera, it's really pretty good quality.",1
I don't think I've ever gone to a movie and disliked it as much.  ,0
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1
The crêpe was delicate and thin and moist.,1
I do think Tom Hanks is a good actor.  ,1
"Speaking of the music, it is unbearably predictably and kitchy.  ",0
Raw and sublimely moving.  ,1
Pretty good beer selection too.,1
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0
"Saggy, floppy piece of junk.",0
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
It's this pandering to the audience that sabotages most of his films.  ,0
I think that it is a must see older John Wayne film.  ,1
Disappointing accessory from a good manufacturer.,0
Then I had to continue pairing it periodically since it somehow kept dropping.,0
A great touch.,1
I think this restaurant suffers from not trying hard enough.,0
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
Service was slow and not attentive.,0
"The soundtrack wasn't terrible, either.  ",1
One thing I hate is the mode set button at the side.,0
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
It defeats the purpose of a bluetooth headset.,0
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
"I've only had my bluetooth for a few weeks, but I really like it.",1
It really created a unique feeling though.  ,1
The management is rude.,0
Great software for Motorolas.,1
One of the most disappointing aspects is the lack of notable gore.  ,0
Great Pocket PC / phone combination.,1
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,1
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0
There is nothing authentic about this place.,0
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1
And generally the lines and plot is weaker than the average episode.  ,0
Food is way overpriced and portions are fucking small.,0
Great character actors Telly Savalas and Peter Boyle.  ,1
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0
Echo Problem....Very unsatisfactory,0
Battery life still not long enough in Motorola Razor V3i.,0
I certainly do not mean this distinction in a good way.  ,0
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
Definitely not worth the $3 I paid.,0
"I gave it 5 stars then, and I'm giving it 5 stars now.",1
"Comfortable, Nice Range, Good Battery Life.",1
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",0
They have great dinners.,1
the spaghetti is nothing special whatsoever.,0
Please stay away from the shrimp stir fried noodles.,0
High-quality chicken on the chicken Caesar salad.,1
I advise you to look out for it.  ,1
"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",1
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1
No complaints!,1
"Woa, talk about awful.  ",0
I don't think we'll be going back anytime soon.,0
The file browser offers all the options that one needs.Handsfree is great.,1
I'm super pissd.,0
"A must study for anyone interested in the ""worst sins"" of industrial design.",0
The food is good.,1
Summary: The witticisms weren't witty.  ,0
I really liked that.  ,1
the charger worked for about a week and then completely stopped charging my phone.,0
It's a great place and I highly recommend it.,1
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",0
All in all its an insult to one's intelligence and a huge waste of money.  ,0
This one just fails to create any real suspense.  ,0
This place has a lot of promise but fails to deliver.,0
"Five star Plus, plus.",1
"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0
Started watching this but didn't believe in any of the characters.  ,0
Not my thing.,0
Also great directing and photography.  ,1
"He is an amazing film artist, one of the most important whoever lived.  ",1
This is one of the best movies out there that shows such strong sibling bond for each other.  ,1
Just what I wanted.,1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  ",0
Everything was perfect the night we were in.,1
Great product and price.,1
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
Service stinks here!,0
When I saw it in the theater I thought I was going to be sick.  ,0
the cast was great.  ,1
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
Plan on ordering from them again and again.,1
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
"Not only will it drain your player, but may also potentially fry it.",0
"Bad characters, bad story and bad acting.  ",0
I wasted my little money with this earpiece.,0
A good time!,1
The stories were powerful explorations of the nature of man and of art.  ,1
The phone gets EXTREMELY HOT!,0
I'd advise anyone to go and see it.  ,1
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
Works great.,1
Overpriced for what you are getting.,0
I don't think there are any redeeming qualities in this remake.  ,0
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
Kieslowski never ceases to amaze me.  ,1
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",0
The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  ,1
Iam very pleased with my purchase.,1
#1 It Works - #2 It is Comfortable.,1
Not good for the money.,0
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,1
Love it.. Great armband.,1
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
The death row scenes were entirely unmoving.  ,0
You can find better movies at youtube.  ,0
This would not even be good as a made for TV flick.  ,0
It is very educational for children 1 to 8 years old.  ,1
It deserves strong love.  ,1
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0
I love this bluetooth!,1
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0
The only downside is the service.,0
Crostini that came with the salad was stale.,0
That company is a joke.,0
Timely shipment and quality product.,1
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
Spend your money elsewhere.,0
What I really like there is the crepe station.,1
"Then our food came out, disappointment ensued.",0
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
"The burger is good beef, cooked just right.",1
We have gotten a lot of compliments on it.,1
Also makes it easier to hold on to.,1
At no point in the proceedings does it look remotely like America.  ,0
The entire audience applauded at the conclusion of the film.  ,1
"Some applause should be given to the ""prelude"" however.  ",1
It looses connection to the phone even when it is within a couple feet between the two.,0
Cant say enough good things about this place.,1
Perfect for the PS3.,1
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0
I love their fries and their beans.,1
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
don't waste your money.,0
Dessert: Panna Cotta was amazing.,1
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
And the accents are absolutely abysmal!  ,0
Once you get inside you'll be impressed with the place.,1
It's just lame.  ,0
"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0
I would highly recommend this.,1
Everything was fresh and delicious!,1
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",0
Terrible service!,0
Worst food/service I've had in a while.,0
"Very good, though!",1
I liked the patio and the service was outstanding.,1
"The characters are interesting, even if a bit predictable.  ",1
The design might be ergonomic in theory but I could not stand having these in my ear.,0
The visual effects were AWFUL.  ,0
"There is, however, some pretty good acting (at least, for this type of film).  ",1
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1
So just beware.,0
